Location	Latitude	Longitude	0	KM
Gaspé, QC, Canada	48.831635	-64.486902	0	0
Percé, QC, Canada	48.524444	-64.21268	61.8	61.8
Chandler, QC, Canada	48.349494	-64.676977	105.9	44.1
Paspébiac, QC, Canada	48.032593	-65.252609	172	66.1
New Richmond, QC, Canada	48.162118	-65.856769	225.3	53.3
Pointe-à-la-Garde, QC, Canada	48.078734	-66.542171	292.9	67.6
Mann Settlement, QC, Canada	48.012385	-67.016281	334.4	41.5
Amqui, QC, Canada	48.464605	-67.431192	403.6	69.2
Mont-Joli, QC, Canada	48.585614	-68.190099	472.5	68.9
Rimouski, QC, Canada	48.43898	-68.53497	509	36.5
Trois-Pistoles, QC, Canada	48.119267	-69.165262	570.8	61.8
Rivière-du-Loup, QC, Canada	47.835957	-69.535985	620.2	49.4
La Pocatière, QC, Canada	47.364876	-70.033674	689.7	69.5
Montmagny, QC, Canada	46.980103	-70.556572	752.1	62.4
2 Rue des Jardins, Québec City, Québec, Canada	46.813874	-71.208058	812	59.9
Donnacona, QC, Canada	46.675566	-71.734894	859.3	47.3
Champlain, QC, Canada	46.440909	-72.345099	925.1	65.8
Trois-Rivières, QC, Canada	46.35468	-72.583787	948.9	23.8
Berthierville, QC, Canada	46.083474	-73.184759	1012.5	63.6
Sorel-Tracy, QC, Canada	46.042825	-73.112302	1021.5	9
Drummondville, QC, Canada	45.880291	-72.484282	1085.1	63.6
Saint-Hyacinthe, QC, Canada	45.630688	-72.956339	1150	64.9
Longueuil, QC, Canada	45.536944	-73.510713	1203.9	53.9
275 Notre-Dame Street West, Montreal, QC, Canada	45.502848	-73.558351	1211.9	8
