Torque (N.m) 	rpm	out p	V	(A) 	input power(W) 	eff(%)			Motor test record							
1,07	357	40	48,12	1,34	64,28	62,2			Manufacturer:GoldenMotor.com							
1,16	357	43,37	48,12	1,32	63,34	68,5			Model:MagicPie Numbering:F0001150001, 2009							
1,13	357	42,25	48,12	1,33	63,77	66,2										
1,05	358	39,37	48,12	1,35	64,9	60,7										
0,96	357	35,89	48,12	1,34	64,42	55,7			Desc. 	Torque (N.m) 	rpm	out p	V	(A) 	input power(W) 	eff(%)
0,87	357	32,53	48,12	1,38	66,53	48,9			Torque Max 	27.66 	279	808.16 	47.85 	23.45 	1122.09 	72.0
0,82	356	30,57	48,12	1,38	66,34	46,1			RPM Max 	1.05 	358	39.37 	48.12 	1.35 	64.90 	60.7
0,75	357	28,04	48,11	1,43	68,71	40,8			P out Max 	27.66 	279	808.16 	47.85 	23.45 	1122.09 	72.0
0,67	357	25,05	48,11	1,45	70	35,8			V in Max 	1.07 	357	40.00 	48.12 	1.34 	64.28 	62.2
0,58	356	21,62	48,11	1,48	71,3	30,3			current in Max 	27.66 	279	808.16 	47.85 	23.45 	1122.09 	72.0
0,48	357	17,95	48,11	1,53	73,76	24,3			input p Max 	27.66 	279	808.16 	47.85 	23.45 	1122.09 	72.0
0,38	355	14,13	48,11	1,56	75,22	18,8			eff Max 	11.17 	324	379.00 	48.00 	9.99 	479.70 	79.0
0,27	356	10,07	48,11	1,64	78,75	12,8										
0,15	356	5,59	48,11	1,67	80,2	7										
0,02	355	0,74	48,11	1,75	84,11	0,9										
0	355	0	48,11	1,8	86,65	0										
0,13	356	4,85	48,11	1,89	90,78	5,3										
0,29	356	10,81	48,11	1,96	94,38	11,5										
0,42	354	15,57	48,11	2,02	97,38	16										
0,54	355	20,08	48,1	2,13	102,37	19,6										
0,73	354	27,06	48,1	2,23	107,41	25,2										
0,82	354	30,4	48,1	2,29	109,97	27,6										
1,01	353	37,34	48,1	2,42	116,37	32,1										
1,16	352	42,76	48,1	2,48	119,33	35,8										
1,34	352	49,4	48,1	2,62	126	39,2										
1,45	352	53,45	48,1	2,7	129,8	41,2										
1,68	351	61,75	48,09	2,82	135,78	45,5										
1,87	350	68,54	48,09	2,94	141,55	48,4										
1,92	351	70,57	48,09	3,05	146,8	48,1										
2,16	350	79,17	48,09	3,18	152,89	51,8										
2,3	349	84,06	48,09	3,32	159,44	52,7										
