Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
48.83191,-64.48609,31.2,0,0
48.83116,-64.48551,29.3,0.094,0
48.83132,-64.48503,26.5,0.133,0
48.83152,-64.48437,22.5,0.186,0
48.83173,-64.48375,19.6,0.237,0
48.83175,-64.48368,19,0.243,0
48.831215,-64.48332,18.1,0.308,-4
48.83068,-64.48296,14.5,0.373,-3
48.83057,-64.48289,13.5,0.387,-4
48.83053,-64.48285,12.7,0.392,-4
48.8305,-64.48283,12.2,0.396,-4
48.83044,-64.48277,11.3,0.404,-5
48.83032,-64.48255,9.3,0.425,-8
48.83022,-64.48228,7,0.447,-8
48.83006,-64.48176,3.6,0.489,-10
48.83004,-64.48167,3.2,0.496,-9
48.83002,-64.48161,2.8,0.501,-9
48.83,-64.48156,2.5,0.505,-9
48.82999,-64.48153,2.4,0.508,-9
48.82997,-64.4815,2.2,0.511,-9
48.82994,-64.48144,1.6,0.517,-9
48.8299,-64.48136,0.9,0.524,-9
48.82983,-64.48128,0.3,0.534,-8
48.82976,-64.4812,0,0.543,-8
48.82969,-64.48113,0,0.553,-7
48.82965,-64.48109,0,0.558,-6
48.829123,-64.480613,0,0.626,-1
48.828597,-64.480137,0,0.695,0
48.82807,-64.47966,0,0.763,0
48.82761,-64.47928,0,0.821,0
48.82748,-64.47918,0.2,0.837,0
48.82735,-64.47909,1,0.853,1
48.82721,-64.47903,1,0.869,1
48.82701,-64.47894,1,0.893,1
48.82677,-64.47886,2,0.92,1
48.82639,-64.47874,2.1,0.963,1
48.82609,-64.47865,2.6,0.997,2
48.82592,-64.47859,3,1.017,2
48.82574,-64.47853,3.3,1.037,1
48.82543,-64.47843,3.9,1.072,2
48.82524,-64.47837,4.3,1.094,2
48.82502,-64.4783,4.9,1.119,2
48.82489,-64.47826,5,1.134,2
48.8248,-64.47824,5,1.144,2
48.82474,-64.47822,5.1,1.151,2
48.82467,-64.47821,5.2,1.159,2
48.82455,-64.47819,5.3,1.172,1
48.82441,-64.47818,5.4,1.188,1
48.82428,-64.47817,5.4,1.202,1
48.82416,-64.47817,5.4,1.216,1
48.82405,-64.47818,5.4,1.228,0
48.82388,-64.47819,5.3,1.247,0
48.82374,-64.47822,5.1,1.262,0
48.82366,-64.47824,5,1.272,0
48.82356,-64.47827,5.1,1.283,0
48.82347,-64.4783,5.5,1.293,0
48.82337,-64.47834,5.6,1.305,0
48.82325,-64.47838,6,1.318,1
48.82314,-64.47843,6,1.331,1
48.82298,-64.4785,6.3,1.35,1
48.82286,-64.47857,6.3,1.364,1
48.82274,-64.47864,6.9,1.378,2
48.82259,-64.47874,7.8,1.396,2
48.82245,-64.47885,7.8,1.414,2
48.82213,-64.47917,7.3,1.457,1
48.82198,-64.47934,7.4,1.478,1
48.82192,-64.47942,7.7,1.486,1
48.8218,-64.47957,7.7,1.504,0
48.82167,-64.47976,8.2,1.524,0
